model,epoch,train_loss,test_loss,train_accuracy,test_accuracy
ANN_1lop_32,1.0,0.6641198258122284,0.7454857804572805,0.734375,0.6770833333333334
ANN_1lop_32,2.0,0.5255607534340726,0.6187954213744992,0.8333333333333334,0.8020833333333334
ANN_1lop_32,3.0,0.43078029003500484,0.5384370806904638,0.8697916666666666,0.8020833333333334
ANN_1lop_32,4.0,0.38864048207931173,0.5038384905441301,0.8723958333333334,0.84375
ANN_1lop_32,5.0,0.3470125897490643,0.5025642641145827,0.8802083333333334,0.8333333333333334
ANN_1lop_32,6.0,0.34088187767723105,0.4442083356920166,0.8776041666666666,0.8541666666666666
ANN_1lop_32,7.0,0.32855930632812763,0.5083117252991016,0.8932291666666666,0.84375
ANN_1lop_32,8.0,0.2470257252739442,0.3932333227742568,0.921875,0.875
ANN_1lop_32,9.0,0.23092459460457815,0.416906307349338,0.9427083333333334,0.8541666666666666
ANN_1lop_32,10.0,0.22293078959630586,0.3362430726196566,0.9505208333333334,0.90625
ANN_1lop_32,11.0,0.19196224408580045,0.3119891167484877,0.9557291666666666,0.90625
ANN_1lop_32,12.0,0.1934820859396251,0.35830145123059115,0.9661458333333334,0.875
ANN_1lop_32,13.0,0.17522401529657064,0.3225563670912353,0.9635416666666666,0.8854166666666666
ANN_1lop_32,14.0,0.1671088370781739,0.3149166890998288,0.9479166666666666,0.8958333333333334
ANN_1lop_32,15.0,0.14352316599567985,0.27370927927360217,0.9765625,0.9270833333333334
ANN_1lop_32,16.0,0.15735186506648455,0.3021579286229747,0.9791666666666666,0.9270833333333334
ANN_1lop_32,17.0,0.15142669067398476,0.39899457930588006,0.953125,0.8854166666666666
ANN_1lop_32,18.0,0.11379069910945465,0.2574900691781834,0.984375,0.9270833333333334
ANN_1lop_32,19.0,0.10974957617984389,0.23884087242560734,0.984375,0.9270833333333334
ANN_1lop_32,20.0,0.10953086605921007,0.23739196357783043,0.9765625,0.9166666666666666
ANN_1lop_32,21.0,0.10127323198420667,0.21091336661242188,0.9869791666666666,0.9479166666666666
ANN_1lop_32,22.0,0.1191627078090713,0.2967994406641998,0.9609375,0.8958333333333334
ANN_1lop_32,23.0,0.09450666158733567,0.24222342019317153,0.9791666666666666,0.9479166666666666
ANN_1lop_32,24.0,0.08357049012805208,0.2171559598520163,0.9869791666666666,0.9375
ANN_1lop_32,25.0,0.0901721038195603,0.25129616543943367,0.9791666666666666,0.9166666666666666
ANN_1lop_32,26.0,0.08177805009804136,0.2051311481149628,0.9921875,0.9270833333333334
ANN_1lop_32,27.0,0.07411557773616424,0.19295837313791617,0.9895833333333334,0.9583333333333334
ANN_1lop_32,28.0,0.06839664230424447,0.21469905758640115,0.9895833333333334,0.9375
ANN_1lop_32,29.0,0.06824563108665717,0.23009731936953728,0.9895833333333334,0.9166666666666666
ANN_1lop_32,30.0,0.06300280821520766,0.18284743491706876,0.9921875,0.9583333333333334
ANN_1lop_32,31.0,0.06554985047631025,0.20643720207207486,0.9869791666666666,0.9270833333333334
ANN_1lop_32,32.0,0.07308619069572314,0.2574236726565666,0.9895833333333334,0.90625
ANN_1lop_32,33.0,0.07445976791326103,0.17496558026741194,0.9791666666666666,0.9583333333333334
ANN_1lop_32,34.0,0.05750041153712235,0.19415391555632713,0.9921875,0.9479166666666666
ANN_1lop_32,35.0,0.052706858934029356,0.21127630780134063,0.9895833333333334,0.9270833333333334
ANN_2lop_64_32,1.0,0.5136246973031481,0.6032689105078184,0.796875,0.75
ANN_2lop_64_32,2.0,0.33126536857078864,0.5308943173003638,0.8854166666666666,0.8125
ANN_2lop_64_32,3.0,0.2638430384296839,0.42606868475528525,0.921875,0.84375
ANN_2lop_64_32,4.0,0.23436705770324237,0.3935971576386384,0.9114583333333334,0.8645833333333334
ANN_2lop_64_32,5.0,0.20675232545549663,0.4102162004955732,0.9140625,0.875
ANN_2lop_64_32,6.0,0.1626911250434521,0.3642306925264629,0.9427083333333334,0.8958333333333334
ANN_2lop_64_32,7.0,0.1680729411161007,0.32052289513343846,0.9322916666666666,0.90625
ANN_2lop_64_32,8.0,0.12183074568095048,0.3052603424514349,0.9791666666666666,0.8958333333333334
ANN_2lop_64_32,9.0,0.09292561181096076,0.35492848588153003,0.9713541666666666,0.8854166666666666
ANN_2lop_64_32,10.0,0.10315651952373821,0.31265612498681394,0.9739583333333334,0.875
ANN_2lop_64_32,11.0,0.15011218824516545,0.4585662495424692,0.9322916666666666,0.875
ANN_2lop_64_32,12.0,0.06338362317610988,0.2876702425355309,0.9791666666666666,0.9166666666666666
ANN_2lop_64_32,13.0,0.0929260003908982,0.3736343152436345,0.9713541666666666,0.8645833333333334
ANN_2lop_64_32,14.0,0.10991309390741212,0.31300900095586576,0.9479166666666666,0.8958333333333334
ANN_2lop_64_32,15.0,0.05707982579106589,0.2897861230193945,0.9921875,0.90625
ANN_2lop_64_32,16.0,0.04941307175664796,0.3218906340216032,0.9869791666666666,0.8645833333333334
ANN_2lop_64_32,17.0,0.09146836628057402,0.38372573150316797,0.9713541666666666,0.8958333333333334
ANN_2lop_64_32,18.0,0.03754126718766082,0.29216828135122636,0.9921875,0.9270833333333334
ANN_2lop_64_32,19.0,0.10292105354185378,0.3054106850440784,0.9635416666666666,0.90625
ANN_2lop_64_32,20.0,0.036133744338298905,0.28017652963115464,0.9895833333333334,0.9375
ANN_2lop_64_32,21.0,0.036944109842934794,0.28525742034747903,0.9973958333333334,0.9583333333333334
ANN_2lop_64_32,22.0,0.018022366100771844,0.2808415652081083,0.9973958333333334,0.9166666666666666
ANN_2lop_64_32,23.0,0.023441667900439663,0.3142369024420186,0.9973958333333334,0.9166666666666666
ANN_2lop_64_32,24.0,0.013882582675309651,0.3252703643760874,1.0,0.9166666666666666
ANN_2lop_64_32,25.0,0.013827332585725183,0.2999675470362359,1.0,0.9166666666666666
ANN_2lop_64_32,26.0,0.011439876186409875,0.2983948111820071,1.0,0.9166666666666666
ANN_2lop_64_32,27.0,0.016244820029870863,0.32863815197576973,0.9973958333333334,0.9166666666666666
ANN_2lop_64_32,28.0,0.010165871844475503,0.2874881740879584,1.0,0.9270833333333334
ANN_2lop_64_32,29.0,0.011935042056745698,0.27039020274914777,1.0,0.9270833333333334
ANN_2lop_64_32,30.0,0.01154862146628973,0.3418197411136464,0.9973958333333334,0.9166666666666666
ANN_2lop_64_32,31.0,0.008096338232341923,0.3184714115192855,1.0,0.9166666666666666
ANN_2lop_64_32,32.0,0.0063638642049338,0.3385994424061988,1.0,0.9166666666666666
ANN_2lop_64_32,33.0,0.010320783917380229,0.3124622444601165,0.9973958333333334,0.9270833333333334
ANN_2lop_64_32,34.0,0.006640483151094588,0.315834163109665,1.0,0.9166666666666666
ANN_2lop_64_32,35.0,0.005548383827081339,0.3388412482453412,1.0,0.9166666666666666
ANN_2lop_128_64,1.0,0.688404199658084,0.7956751030076626,0.7630208333333334,0.7916666666666666
ANN_2lop_128_64,2.0,0.4240786570018283,0.5239422835696165,0.8333333333333334,0.7708333333333334
ANN_2lop_128_64,3.0,0.3896553017266407,0.4873560964148296,0.7994791666666666,0.7604166666666666
ANN_2lop_128_64,4.0,0.24855509007783652,0.42831796997791177,0.8958333333333334,0.8645833333333334
ANN_2lop_128_64,5.0,0.17785490340183427,0.3729026052830897,0.9583333333333334,0.8854166666666666
ANN_2lop_128_64,6.0,0.19776149113285288,0.37867929196278777,0.9270833333333334,0.84375
