model,epoch,train_loss,test_loss,train_accuracy,test_accuracy
ANN_2lop_128_64,7.0,0.14437946494177417,0.3401359219445701,0.953125,0.8854166666666666
ANN_2lop_128_64,8.0,0.10603750037987762,0.35757978542917673,0.9661458333333334,0.8958333333333334
ANN_2lop_128_64,9.0,0.2472832398221232,0.4345443638201265,0.8828125,0.8229166666666666
ANN_2lop_128_64,10.0,0.19181907704016246,0.3694154081164705,0.9140625,0.8333333333333334
ANN_2lop_128_64,11.0,0.07880014828753032,0.3625081706353648,0.9869791666666666,0.8958333333333334
ANN_2lop_128_64,12.0,0.11624016112455064,0.31200442700025127,0.9635416666666666,0.8958333333333334
ANN_2lop_128_64,13.0,0.0665375508829498,0.26879668952969993,0.9791666666666666,0.9166666666666666
ANN_2lop_128_64,14.0,0.04629064040694402,0.3018764434151464,0.9973958333333334,0.8958333333333334
ANN_2lop_128_64,15.0,0.05279463139341414,0.4481749822766908,0.984375,0.8854166666666666
ANN_2lop_128_64,16.0,0.03532787688073877,0.3600815052436676,0.9973958333333334,0.9166666666666666
ANN_2lop_128_64,17.0,0.05435498286844226,0.38626672108626553,0.9817708333333334,0.8854166666666666
ANN_2lop_128_64,18.0,0.018486405240056764,0.3003007461790093,1.0,0.9166666666666666
ANN_2lop_128_64,19.0,0.02208331159995523,0.3470258965789293,0.9973958333333334,0.90625
ANN_2lop_128_64,20.0,0.019920672508231905,0.3039583559867494,1.0,0.90625
ANN_2lop_128_64,21.0,0.020430747480462325,0.2641299633236876,1.0,0.9270833333333334
ANN_2lop_128_64,22.0,0.021484696537601725,0.2529837019003606,0.9973958333333334,0.9166666666666666
ANN_2lop_128_64,23.0,0.012915803755846085,0.2798680029219523,1.0,0.90625
ANN_2lop_128_64,24.0,0.012070970960398128,0.29970485558110965,1.0,0.9270833333333334
ANN_2lop_128_64,25.0,0.011574924996254817,0.30052962011888024,1.0,0.90625
ANN_2lop_128_64,26.0,0.0140121243584988,0.2602211261702965,1.0,0.9270833333333334
ANN_2lop_128_64,27.0,0.006750216149257832,0.3060152649845597,1.0,0.9270833333333334
ANN_2lop_128_64,28.0,0.006031557807583292,0.3033304386391176,1.0,0.9270833333333334
ANN_2lop_128_64,29.0,0.005715530503385641,0.2859129779019051,1.0,0.9270833333333334
ANN_2lop_128_64,30.0,0.005524961596708442,0.31575983174557465,1.0,0.9166666666666666
ANN_2lop_128_64,31.0,0.00594859768697436,0.30824952229853947,1.0,0.9166666666666666
ANN_2lop_128_64,32.0,0.00485563358585222,0.2931887247999551,1.0,0.9270833333333334
ANN_2lop_128_64,33.0,0.005667689856644883,0.29709359903416926,1.0,0.9270833333333334
ANN_2lop_128_64,34.0,0.004456116151361854,0.33683932173870285,1.0,0.9166666666666666
ANN_2lop_128_64,35.0,0.004180917859988053,0.3005370486690867,1.0,0.9270833333333334
